관리일자,지사,노선코드,노선명,방향,차로,시점,종점,포장형태,표층재,교면구분,교량명,공사구분
1999,원주지사,0500,영동선,인천,2,151,152,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,인천,2,152,155,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,인천,2,155,155,아스팔트,일반아스팔트,교량부,현천1교,확장
1999,원주지사,0500,영동선,인천,2,155,157,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,인천,2,157,157,아스팔트,일반아스팔트,교량부,현천2교,확장
1999,원주지사,0500,영동선,인천,2,157,159,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,인천,2,159,159,아스팔트,일반아스팔트,교량부,현천3교,확장
1997,원주지사,0500,영동선,인천,2,125,125,아스팔트,일반아스팔트,토공부,,확장
1997,원주지사,0500,영동선,인천,2,125,125,아스팔트,일반아스팔트,교량부,만종교,확장
20081112,산청지사,0350,통영대전선,중부선,통영,2,95,96,아스팔트,,교량부,갈전교,신설
1998,산청지사,0350,통영대전선,중부선,하남,2,89,91,콘크리트,JCP,토공부,,신설
1994,원주지사,0500,영동선,강릉,1,96,96,아스팔트,일반아스팔트,교량부,우만교,확장
1994,원주지사,0500,영동선,강릉,1,96,97,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,강릉,1,97,97,아스팔트,일반아스팔트,교량부,남한강교,확장
1994,원주지사,0500,영동선,강릉,1,97,98,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,강릉,1,98,98,아스팔트,일반아스팔트,교량부,가야교,확장
1994,원주지사,0500,영동선,강릉,1,98,98,아스팔트,일반아스팔트,토공부,,확장
1998,산청지사,0350,통영대전선,중부선,하남,2,99,100,콘크리트,JCP,토공부,,신설
1994,원주지사,0500,영동선,강릉,1,102,102,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,강릉,1,102,102,콘크리트,JCP,터널부,강천터널,확장
1994,원주지사,0500,영동선,강릉,1,102,103,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,강릉,1,103,103,아스팔트,일반아스팔트,교량부,강천2교,확장
1994,원주지사,0500,영동선,강릉,1,103,103,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,강릉,1,103,104,아스팔트,일반아스팔트,교량부,섬강교,확장
1994,원주지사,0500,영동선,강릉,1,104,109,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,강릉,1,109,109,아스팔트,일반아스팔트,교량부,둔번교,확장
1994,원주지사,0500,영동선,강릉,1,109,109,콘크리트,JCP,토공부,,확장
1998,산청지사,0350,통영대전선,중부선,하남,2,100,100,아스팔트,일반아스팔트,교량부,대궁교,신설
1998,산청지사,0350,통영대전선,중부선,하남,2,100,101,콘크리트,JCP,토공부,,신설
1994,원주지사,0500,영동선,강릉,1,109,109,아스팔트,일반아스팔트,교량부,둔번1교,확장
1994,원주지사,0500,영동선,강릉,1,109,110,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,강릉,1,110,111,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,강릉,1,111,111,아스팔트,일반아스팔트,교량부,궁촌교,확장
1994,원주지사,0500,영동선,강릉,1,111,111,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,강릉,1,111,111,아스팔트,일반아스팔트,교량부,궁말육교,확장
1994,원주지사,0500,영동선,강릉,1,111,111,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,강릉,1,111,112,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,강릉,1,112,112,아스팔트,일반아스팔트,교량부,포진1교,확장
1994,원주지사,0500,영동선,강릉,1,112,112,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,강릉,1,112,113,아스팔트,일반아스팔트,교량부,포진2교,확장
1994,원주지사,0500,영동선,강릉,1,113,113,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,강릉,1,113,113,아스팔트,일반아스팔트,교량부,포진3교,확장
1994,원주지사,0500,영동선,강릉,1,113,114,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,강릉,1,114,115,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,강릉,1,115,115,아스팔트,일반아스팔트,교량부,건등1교,확장
1994,원주지사,0500,영동선,강릉,1,115,115,콘크리트,JCP,토공부,,확장
20150618,무주지사,0350,통영대전선,중부선,통영,2,134,134,아스팔트,,토공부,,신설
20160906,산청지사,0350,통영대전선,중부선,통영,1,123,123,아스팔트,,토공부,,신설
20140710,무주지사,0350,통영대전선,중부선,통영,2,134,134,콘크리트,JCP,토공부,,신설
20150617,무주지사,0350,통영대전선,중부선,통영,1,134,134,아스팔트,,토공부,,신설
20160906,산청지사,0350,통영대전선,중부선,통영,1,123,123,콘크리트,JCP,토공부,,신설
20130930,대전지사,0010,경부선,서울,3,271,271,아스팔트,,교량부,가양대교,확장
20150618,무주지사,0350,통영대전선,중부선,통영,2,133,134,아스팔트,,토공부,,신설
1997,원주지사,0500,영동선,인천,2,130,131,아스팔트,일반아스팔트,교량부,태장교,확장
1997,원주지사,0500,영동선,인천,2,131,131,콘크리트,JCP,토공부,,확장
1997,원주지사,0500,영동선,인천,2,131,131,콘크리트,JCP,토공부,,확장
20150617,무주지사,0350,통영대전선,중부선,통영,1,133,134,아스팔트,,토공부,,신설
20140710,무주지사,0350,통영대전선,중부선,통영,1,134,134,콘크리트,JCP,토공부,,신설
1994,원주지사,0500,영동선,강릉,2,103,103,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,인천,1,96,96,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,인천,1,96,96,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,인천,1,96,96,아스팔트,일반아스팔트,교량부,멱곡2교,확장
20091224,영주지사,0550,중앙선,부산,1,179,179,아스팔트,,토공부,,확장
2003,구미지사,0010,경부선,서울,2,178,179,콘크리트,JCP,토공부,,확장
20080902,양산지사,0550,중앙선,부산,1,2,3,아스팔트,,교량부,강서낙동강교,신설
1997,원주지사,0500,영동선,인천,1,143,143,아스팔트,일반아스팔트,토공부,,확장
1997,원주지사,0500,영동선,인천,1,143,143,아스팔트,일반아스팔트,교량부,우항1교,확장
1999,원주지사,0500,영동선,인천,1,143,144,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,인천,1,144,144,아스팔트,일반아스팔트,교량부,우항2교,확장
1999,원주지사,0500,영동선,인천,1,144,144,아스팔트,일반아스팔트,토공부,,확장
2003,구미지사,0010,경부선,서울,3,181,181,콘크리트,JCP,토공부,,확장
20150715,무주지사,0350,통영대전선,중부선,통영,1,197,197,아스팔트,,토공부,,신설
1999,원주지사,0500,영동선,인천,1,144,144,아스팔트,일반아스팔트,교량부,오원1교,확장
1999,원주지사,0500,영동선,인천,1,144,144,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,인천,1,144,144,아스팔트,일반아스팔트,교량부,오원2교,확장
1999,원주지사,0500,영동선,인천,1,144,145,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,인천,1,145,145,아스팔트,일반아스팔트,교량부,오원3교,확장
1999,원주지사,0500,영동선,인천,1,145,146,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,인천,1,146,146,아스팔트,일반아스팔트,교량부,대미원천교,확장
20111014,영주지사,0550,중앙선,부산,1,233,233,아스팔트,,토공부,,신설
