2015 09 25              0.55              0.55              -999              4.49
2015 09 26              0.47              0.47              -999              3.74
2015 09 27              0.61              0.61              4.99              4.96
2015 09 28              0.45              0.45              -999              3.60
2015 09 29              0.60              0.60              -999              4.69
2015 09 30              0.48              0.48              -999              3.69
2015 10 01              0.14              0.14              -999              1.06
2015 10 02              0.56              0.56              -999              4.37
2015 10 03              0.63              0.63              4.78              4.72
2015 10 04              0.52              0.52              4.73              3.88
2015 10 05              0.62              0.62              4.66              4.65
2015 10 06              0.62              0.62              4.59              4.55
2015 10 07              0.48              0.48              -999              3.48
2015 10 08              0.60              0.60              4.44              4.38
2015 10 09              0.65              0.65              4.57              4.55
2015 10 10              0.41              0.41              -999              2.92
2015 10 11              0.27              0.27              -999              1.92
2015 10 12              0.62              0.62              4.33              4.26
2015 10 13              0.60              0.60              4.25              4.19
2015 10 14              0.60              0.60              4.22              4.15
2015 10 15              0.58              0.58              -999              4.01
2015 10 16              0.57              0.57              -999              3.82
2015 10 17              0.60              0.60              4.08              3.95
2015 10 18              0.57              0.57              3.94              3.73
2015 10 19              0.49              0.49              3.83              3.23
2015 10 20              0.57              0.57              -999              3.66
2015 10 21              0.49              0.49              -999              3.16
2015 10 22              0.47              0.47              -999              2.98
2015 10 23              0.46              0.46              -999              2.88
2015 10 24              0.54              0.54              3.64              3.38
2015 10 25              0.57              0.57              3.66              3.54
2015 10 26              0.25              0.25              -999              1.52
2015 10 27              0.52              0.52              -999              3.20
2015 10 28              0.57              0.57              3.55              3.51
2015 10 29              0.46              0.46              3.50              2.78
2015 10 30              0.59              0.59              3.54              3.51
2015 10 31              0.60              0.60              3.54              3.49
2015 11 01              0.33              0.33              -999              1.91
2015 11 02              0.50              0.50              -999              2.83
2015 11 03              0.61              0.61              -999              3.45
2015 11 04              0.60              0.60              3.49              3.33
2015 11 05              0.51              0.51              -999              2.85
2015 11 06              0.39              0.39              -999              2.15
2015 11 07              0.06              0.06              -999              0.35
2015 11 08              0.14              0.14              -999              0.74
2015 11 09              0.30              0.30              -999              1.63
2015 11 10              0.43              0.43              -999              2.27
2015 11 11              0.50              0.50              -999              2.62
2015 11 12              0.54              0.54              2.98              2.81
2015 11 13              0.06              0.06              -999              0.32
2015 11 14              0.23              0.23              -999              1.19
2015 11 15              0.37              0.37              -999              1.89
2015 11 16              0.12              0.12              -999              0.61
2015 11 17              0.57              0.57              2.86              2.85
2015 11 18              0.08              0.08              -999              0.41
2015 11 19              0.23              0.23              -999              1.14
2015 11 20              0.45              0.45              -999              2.20
2015 11 21              0.57              0.57              2.77              2.73
2015 11 22              0.29              0.29              -999              1.40
2015 11 23              0.29              0.29              -999              1.38
2015 11 24              0.27              0.27              -999              1.25
2015 11 25              0.18              0.18              -999              0.85
2015 11 26              0.22              0.22              -999              1.02
2015 11 27              0.38              0.38              -999              1.75
2015 11 28              0.25              0.25              -999              1.13
2015 11 29              0.16              0.16              -999              0.75
2015 11 30              0.57              0.57              2.66              2.58
2015 12 01              0.60              0.60              2.69              2.67
2015 12 02              0.23              0.23              -999              1.00
2015 12 03              0.28              0.28              -999              1.24
2015 12 04              0.43              0.43              -999              1.88
2015 12 05              0.55              0.55              2.66              2.39
2015 12 06              0.54              0.54              -999              2.36
2015 12 07              0.61              0.61              2.65              2.63
2015 12 08              0.61              0.61              2.63              2.61
2015 12 09              0.55              0.55              -999              2.34
2015 12 10              0.11              0.11              -999              0.47
2015 12 11              0.55              0.55              -999              2.33
2015 12 12              0.51              0.51              2.57              2.18
2015 12 13              0.59              0.59              2.52              2.49
2015 12 14              0.12              0.12              -999              0.51
