2009 05 09   12.02   16.58   10.72   22.76   10.74   16.32              0.55              0.55              -999              6.07
2009 05 10   10.12   17.22   12.50   22.16   12.04   16.76              0.46              0.46              -999              5.06
2009 05 11    3.42   15.44   13.88   17.50   14.07   15.56              0.13              0.13              -999              1.47
2009 05 12   13.15   17.23   12.09   23.80   10.65   17.11              0.52              0.52              -999              5.81
2009 05 13   14.05   14.75    5.23   21.49    7.44   14.43              0.71              0.71              8.32              8.06
2009 05 14   13.96   15.26    8.57   22.44    8.48   14.96              0.65              0.65              -999              7.35
2009 05 15   10.49   16.23   11.00   22.17   11.67   15.95              0.30              0.30              -999              3.33
2009 05 16    2.16   13.20   11.44   14.42   12.25   13.16              0.11              0.11              -999              1.21
2009 05 17    8.51   13.99   10.03   17.16    8.65   13.57              0.46              0.46              8.13              5.14
2009 05 18   12.08   14.65    9.42   20.45    8.37   14.22              0.70              0.70              8.07              7.86
2009 05 19   11.57   16.04   12.72   21.31    9.73   15.37              0.71              0.71              7.92              7.79
2009 05 20   11.73   16.12   12.37   22.15   10.42   16.78              0.45              0.45              -999              5.02
2009 05 21    5.47   15.04   13.28   18.10   12.63   15.14              0.13              0.13              -999              1.49
2009 05 22    9.04   15.66   12.64   19.55   10.51   15.17              0.40              0.40              -999              4.56
2009 05 23    6.51   16.52   12.25   19.09   12.58   15.72              0.49              0.49              -999              5.43
2009 05 24   12.35   17.69   12.67   23.45   11.10   17.42              0.67              0.67              7.84              7.65
2009 05 25   12.60   19.16   12.98   26.46   13.86   19.58              0.68              0.68              8.01              7.86
2009 05 26   10.53   19.22   12.51   25.92   15.39   20.01              0.70              0.70              7.98              7.87
2009 05 27   13.49   18.92   11.96   26.31   12.82   19.07              0.70              0.70              8.05              7.91
2009 05 28   15.35   18.97   11.50   27.23   11.88   19.28              0.69              0.69              8.14              7.98
2009 05 29   10.67   18.15   11.74   24.30   13.62   18.11              0.60              0.60              -999              6.96
2009 05 30   11.59   18.08   10.12   23.68   12.10   17.31              0.67              0.67              -999              7.55
2009 05 31   12.20   17.17    9.43   23.24   11.05   17.14              0.69              0.69              8.19              8.09
2009 06 01   13.67   18.04   12.04   24.08   10.41   17.87              0.72              0.72              8.09              7.99
2009 06 02    9.94   18.90   15.88   23.46   13.52   18.49              0.40              0.40              -999              4.56
2009 06 03    9.48   19.70   14.68   23.84   14.36   18.97              0.39              0.39              -999              4.44
2009 06 04   11.27   19.17   11.79   24.29   13.02   18.52              0.68              0.68              -999              7.83
2009 06 05   12.14   19.96   11.34   25.31   13.17   19.53              0.69              0.69              8.12              7.96
2009 06 06   11.33   20.49   13.82   25.23   13.90   19.46              0.69              0.69              -999              7.97
2009 06 07    6.66   18.67   13.29   21.10   14.43   17.99              0.26              0.26              -999              2.98
2009 06 08    8.90   19.34   13.40   23.37   14.47   19.12              0.45              0.45              -999              5.15
2009 06 09    6.03   18.55   15.85   22.10   16.07   18.51              0.13              0.13              -999              1.46
2009 06 10    7.56   19.60   16.26   22.55   15.00   18.69              0.36              0.36              -999              4.09
2009 06 11    9.79   19.07   14.03   23.50   13.70   18.32              0.66              0.66              8.12              7.83
2009 06 12   11.30   18.06   10.68   22.99   11.69   17.27              0.71              0.71              -999              8.07
2009 06 13   11.04   18.93   13.94   22.95   11.91   17.88              0.65              0.65              -999              7.56
2009 06 14    8.14   20.02   15.52   22.83   14.69   19.18              0.57              0.57              -999              6.73
2009 06 15    8.73   20.53   15.75   23.83   15.11   19.66              0.66              0.66              -999              7.49
2009 06 16    7.74   20.49   15.14   23.82   16.07   19.92              0.65              0.65              7.98              7.47
2009 06 17    5.19   18.89   15.52   22.08   16.88   19.30              0.28              0.28              -999              3.22
2009 06 18   11.16   22.76   16.11   27.98   16.82   22.82              0.72              0.72              8.30              8.25
2009 06 19    7.61   21.99   17.98   25.71   18.11   21.97              0.51              0.51              -999              5.95
2009 06 20    4.54   21.40   19.95   23.89   19.35   21.43              0.12              0.12              -999              1.44
2009 06 21    8.66   22.91   19.32   27.05   18.39   22.33              0.56              0.56              -999              6.55
2009 06 22    8.40   21.68   17.39   25.02   16.62   20.89              0.59              0.59              -999              6.83
2009 06 23   11.16   21.04   15.98   26.20   15.04   20.44              0.69              0.69              8.10              7.93
2009 06 24   10.47   21.51   16.23   26.91   16.44   21.18              0.70              0.70              8.08              8.01
2009 06 25   10.38   21.29   16.21   26.16   15.77   20.89              0.63              0.63              -999              7.28
2009 06 26    9.02   22.06   18.13   26.23   17.21   21.57              0.58              0.58              8.22              6.72
2009 06 27   10.84   23.81   18.56   28.91   18.08   23.18              0.67              0.67              7.95              7.59
2009 06 28    7.17   23.53   20.10   27.39   20.23   23.28              0.32              0.32              -999              3.73
2009 06 29    8.23   24.43   20.61   28.44   20.21   23.73              0.69              0.69              -999              7.83
2009 06 30    4.82   22.09   20.17   24.67   19.85   21.90              0.18              0.18              -999              2.10
2009 07 01    7.05   22.38   18.28   25.31   18.26   21.42              0.56              0.56              -999              6.50
2009 07 02    6.45   21.53   17.89   24.24   17.79   20.81              -999              -999              -999              -999
2009 07 03    8.34   22.52   17.33   25.54   17.20   21.32              0.62              0.62              7.84              7.17
2009 07 04    8.45   23.24   18.00   26.56   18.11   22.30              0.67              0.67              -999              7.53
2009 07 05    9.87   24.35   18.38   27.92   18.05   23.54              0.68              0.68              8.17              7.64
2009 07 06    7.97   24.31   18.67   27.85   19.88   23.72              0.45              0.45              -999              5.18
2009 07 07    7.87   23.78   18.78   28.19   20.32   23.36              0.47              0.47              -999              5.37
2009 07 08    8.46   23.44   18.62   27.58   19.12   23.27              0.60              0.60              -999              6.82
2009 07 09    7.58   20.88   19.43   24.70   17.11   20.98              0.07              0.07              -999              0.84
2009 07 10    9.99   22.09   19.09   26.70   16.71   21.63              0.67              0.67              -999              7.83
2009 07 11    7.76   21.78   18.01   26.40   18.64   22.00              0.30              0.30              -999              3.43
2009 07 12    5.90   21.42   20.57   24.40   18.51   21.50              0.12              0.12              -999              1.38
2009 07 13    6.52   22.31   20.50   25.21   18.69   22.03              0.33              0.33              -999              3.70
2009 07 14    4.97   22.53   22.20   24.86   19.89   22.94              0.14              0.14              -999              1.54
2009 07 15    6.10   22.31   20.20   25.33   19.22   21.97              0.62              0.62              -999              6.92
2009 07 16   10.73   23.67   18.94   29.17   18.44   23.91              0.67              0.67              7.75              7.52
2009 07 17    4.25   23.15   21.73   25.19   20.95   23.48              0.16              0.16              -999              1.81
2009 07 18    5.64   23.56   22.78   26.13   20.49   23.73              0.13              0.13              -999              1.50
2009 07 19    7.54   23.95   21.18   27.46   19.91   23.65              0.59              0.59              7.66              6.52
2009 07 20    5.19   22.81   21.09   25.52   20.32   22.71              0.25              0.25              -999              2.77
2009 07 21    7.03   23.17   20.72   26.56   19.52   22.93              0.61              0.61              -999              6.83
2009 07 22    9.22   23.08   18.70   27.04   17.82   22.97              0.73              0.73              8.05              7.96
2009 07 23    7.77   22.61   19.35   26.52   18.75   22.65              0.53              0.53              -999              5.91
2009 07 24    8.91   22.49   19.16   27.09   18.18   22.29              0.56              0.56              -999              6.11
2009 07 25    8.06   22.08   18.18   25.28   17.22   21.42              0.55              0.55              -999              6.04
2009 07 26    8.98   23.05   18.69   26.52   17.54   22.31              0.57              0.57              -999              6.36
2009 07 27    9.21   23.92   19.30   27.45   18.24   23.13              0.59              0.59              -999              6.48
2009 07 28    5.33   22.36   19.69   24.79   19.46   22.20              0.33              0.33              -999              3.67
2009 07 29    9.95   23.94   19.30   27.76   17.81   23.26              0.69              0.69              -999              7.34
2009 07 30    8.11   24.57   20.33   27.77   19.66   24.07              0.66              0.66              7.43              7.24
2009 07 31    7.18   25.11   20.98   28.28   21.10   24.61              0.66              0.66              -999              7.15
2009 08 01    6.93   25.21   21.19   28.13   21.20   24.73              0.60              0.60              7.62              6.55
2009 08 02    7.65   25.43   21.15   28.53   20.88   25.01              0.66              0.66              7.60              7.23
2009 08 03    4.90   23.25   20.52   25.66   20.76   23.05              0.32              0.32              -999              3.39
2009 08 04    9.05   23.85   20.01   28.08   19.04   23.46              0.59              0.59              7.26              6.41
2009 08 05    8.73   23.62   19.68   27.63   18.90   23.33              0.70              0.70              7.52              7.43
2009 08 06    7.52   22.91   19.84   26.51   18.99   22.76              0.40              0.40              -999              4.27
2009 08 07    5.71   23.61   21.68   26.50   20.78   23.50              0.26              0.26              -999              2.83
2009 08 08    4.30   23.71   21.83   25.93   21.62   23.60              0.32              0.32              -999              3.46
2009 08 09    7.97   25.36   21.79   29.52   21.55   25.14              0.66              0.66              -999              6.85
2009 08 10    9.13   24.76   20.90   29.15   20.01   24.41              0.63              0.63              6.98              6.81
2009 08 11    4.49   23.12   21.53   25.50   21.01   23.03              0.11              0.11              -999              1.13
2009 08 12    5.41   23.59   21.70   26.31   20.90   23.64              0.29              0.29              -999              3.01
2009 08 13    8.30   24.41   20.88   28.41   20.11   24.19              0.59              0.59              -999              6.09
2009 08 14    8.81   24.70   20.23   29.83   21.01   24.95              0.66              0.66              7.12              7.01
2009 08 15   10.78   25.15   20.26   30.58   19.80   25.44              0.65              0.65              7.09              6.80
2009 08 16    9.69   25.26   20.92   30.07   20.39   25.21              0.69              0.69              6.99              6.92
2009 08 17    7.56   24.34   21.03   27.33   19.77   24.07              0.52              0.52              -999              5.44
2009 08 18    6.08   25.52   22.47   28.61   22.52   25.40              0.56              0.56              -999              5.77
2009 08 19    5.53   25.61   23.52   28.55   23.03   25.59              0.51              0.51              -999              5.13
