"","X","long","lat","지번주소","cluster"
"304",304,127.0351895,37.51456724,"강남구",1
"305",305,127.0351929,37.51508932,"강남구",1
"306",306,127.0351929,37.51508932,"강남구",1
"307",307,127.0364887,37.51050019,"강남구",1
"308",308,127.0364887,37.51050019,"강남구",1
"309",309,127.0356175,37.51330402,"강남구",1
"310",310,127.0356175,37.51330402,"강남구",1
"311",311,127.0360127,37.51187844,"강남구",1
"312",312,127.0360127,37.51187844,"강남구",1
"313",313,127.0369505,37.51054883,"강남구",1
"314",314,127.0377613,37.50972345,"강남구",1
"315",315,127.0382698,37.50863863,"강남구",1
"316",316,127.0337959,37.52115904,"강남구",1
"317",317,127.0337959,37.52115904,"강남구",1
"318",318,127.0352037,37.51645868,"강남구",1
"319",319,127.0352026,37.51706528,"강남구",1
"320",320,127.0352026,37.51706528,"강남구",1
"321",321,127.0351662,37.5179374,"강남구",1
"322",322,127.0348412,37.51880289,"강남구",1
"323",323,127.0342433,37.52016528,"강남구",1
"324",324,127.0339995,37.52070681,"강남구",1
"325",325,127.0352013,37.51568005,"강남구",1
"326",326,127.0352013,37.51568005,"강남구",1
"327",327,127.0348818,37.51969451,"강남구",1
"328",328,127.0355194,37.51824096,"강남구",1
"329",329,127.0355194,37.51824096,"강남구",1
"330",330,127.0356062,37.51712345,"강남구",1
"331",331,127.0356183,37.51654698,"강남구",1
"332",332,127.0306381,37.51379232,"강남구",1
"333",333,127.035609,37.51547482,"강남구",1
"334",334,127.0216633,37.51117476,"강남구",1
"335",335,127.0216035,37.5113128,"강남구",1
"336",336,127.0216991,37.51109225,"강남구",1
"337",337,127.0221149,37.5114649,"강남구",1
"338",338,127.0222183,37.51124799,"강남구",1
"339",339,127.0226839,37.51139317,"강남구",1
"340",340,127.0227284,37.51165133,"강남구",1
"341",341,127.0225763,37.51160511,"강남구",1
"342",342,127.0225763,37.51160511,"강남구",1
"343",343,127.0228152,37.51143412,"강남구",1
"344",344,127.0232707,37.5118163,"강남구",1
"345",345,127.0234965,37.51164239,"강남구",1
"346",346,127.0240815,37.51181556,"강남구",1
"347",347,127.0239923,37.51203369,"강남구",1
"348",348,127.0245541,37.51220754,"강남구",1
"349",349,127.0250374,37.51235732,"강남구",1
"350",350,127.0250374,37.51235732,"강남구",1
"351",351,127.0251423,37.51214596,"강남구",1
"352",352,127.0252287,37.51217286,"강남구",1
"353",353,127.0251313,37.51238641,"강남구",1
"354",354,127.0256046,37.51228728,"강남구",1
"355",355,127.0259321,37.51262649,"강남구",1
"356",356,127.0266854,37.51285947,"강남구",1
"357",357,127.0267984,37.51265479,"강남구",1
"358",358,127.0267984,37.51265479,"강남구",1
"359",359,127.0269524,37.51270222,"강남구",1
"360",360,127.0267979,37.51289425,"강남구",1
"361",361,127.0276173,37.51315519,"강남구",1
"362",362,127.0279789,37.51301542,"강남구",1
"363",363,127.0280896,37.51329956,"강남구",1
"364",364,127.0284994,37.51317014,"강남구",1
"365",365,127.0284994,37.51317014,"강남구",1
"366",366,127.0283937,37.51339553,"강남구",1
"367",367,127.0283937,37.51339553,"강남구",1
"368",368,127.0285714,37.51346898,"강남구",1
"369",369,127.0286628,37.51321873,"강남구",1
"370",370,127.0299802,37.51359231,"강남구",1
"371",371,127.0305763,37.51391713,"강남구",1
"372",372,127.0304999,37.5140712,"강남구",1
"373",373,127.0314965,37.51437518,"강남구",1
"374",374,127.0343901,37.51527655,"강남구",1
"375",375,127.0351967,37.51535668,"강남구",1
"376",376,127.0351147,37.51549345,"강남구",1
"377",377,127.0328717,37.51480643,"강남구",1
"378",378,127.0342035,37.52126872,"강남구",1
"379",379,127.0720909,37.49431055,"강남구",3
"380",380,127.0736258,37.49505829,"강남구",3
"381",381,127.0730385,37.49433097,"강남구",3
"382",382,127.0737442,37.49540665,"강남구",3
"383",383,127.073906,37.49591284,"강남구",3
"384",384,127.073906,37.49591284,"강남구",3
"385",385,127.0730385,37.49433097,"강남구",3
"386",386,127.0733362,37.49615639,"강남구",3
"387",387,127.0734575,37.49678438,"강남구",3
"388",388,127.0728552,37.4951344,"강남구",3
"389",389,127.0731534,37.495587,"강남구",3
"390",390,127.0740123,37.49635083,"강남구",3
"391",391,127.0740741,37.49661584,"강남구",3
"392",392,127.0731534,37.495587,"강남구",3
"393",393,127.073252,37.49586221,"강남구",3
"394",394,127.0734575,37.49678438,"강남구",3
"395",395,127.0727844,37.49502935,"강남구",3
"396",396,127.0740695,37.49744036,"강남구",3
"397",397,127.0740162,37.49790776,"강남구",3
"398",398,127.0740945,37.49690006,"강남구",3
"399",399,127.0740695,37.49744036,"강남구",3
"400",400,127.0739967,37.49800878,"강남구",3
"401",401,127.073534,37.49731849,"강남구",3
"402",402,127.0733506,37.49826535,"강남구",3
"403",403,127.0738372,37.49754822,"강남구",3
"404",404,127.073534,37.49731849,"강남구",3
"405",405,127.0732916,37.49821385,"강남구",3
"406",406,127.0732935,37.4983721,"강남구",3
"407",407,127.067881,37.500958,"강남구",3
"408",408,127.067881,37.500958,"강남구",3
"409",409,127.0677035,37.50127095,"강남구",3
"410",410,127.0677947,37.50111014,"강남구",3
"411",411,127.0796591,37.49911779,"강남구",3
"412",412,127.0744256,37.49785921,"강남구",3
"413",413,127.0744303,37.49700976,"강남구",3
"414",414,127.074265,37.49767373,"강남구",3
"415",415,127.0744256,37.49785921,"강남구",3
"416",416,127.079149,37.49904513,"강남구",3
"417",417,127.0741262,37.49830294,"강남구",3
"418",418,127.0742229,37.49821909,"강남구",3
"419",419,127.0741262,37.49830294,"강남구",3
"420",420,127.0730453,37.49885356,"강남구",3
"421",421,127.07388,37.49874081,"강남구",3
"422",422,127.0736342,37.49900624,"강남구",3
"423",423,127.0737713,37.49867012,"강남구",3
"424",424,127.0736342,37.49900624,"강남구",3
"425",425,127.0730453,37.49885356,"강남구",3
"426",426,127.0736598,37.49977305,"강남구",3
"427",427,127.0736342,37.49900624,"강남구",3
"428",428,127.073585,37.49930731,"강남구",3
"429",429,127.0736137,37.49960212,"강남구",3
"430",430,127.0727722,37.49933951,"강남구",3
"431",431,127.0727722,37.49933951,"강남구",3
"432",432,127.0725403,37.49973233,"강남구",3
"433",433,127.0725403,37.49973233,"강남구",3
"434",434,127.0737434,37.50036734,"강남구",3
"435",435,127.0738574,37.50024552,"강남구",3
"436",436,127.0738505,37.50028599,"강남구",3
"437",437,127.0769534,37.5008498,"강남구",3
"438",438,127.0629132,37.49453908,"강남구",3
"439",439,127.0632764,37.49432771,"강남구",3
"440",440,127.0630829,37.49425812,"강남구",3
"441",441,127.0731814,37.49680736,"강남구",3
"442",442,127.0649369,37.49517995,"강남구",3
"443",443,127.0647494,37.49513152,"강남구",3
"444",444,127.0666264,37.49536026,"강남구",3
"445",445,127.0666264,37.49536026,"강남구",3
"446",446,127.0694796,37.49671873,"강남구",3
"447",447,127.0696461,37.49640974,"강남구",3
"448",448,127.0694796,37.49671873,"강남구",3
"449",449,127.0635972,37.49444248,"강남구",3
"450",450,127.0635972,37.49444248,"강남구",3
"451",451,127.0635972,37.49444248,"강남구",3
"452",452,127.0735974,37.5013457,"강남구",3
"453",453,127.0729816,37.50145747,"강남구",3
"454",454,127.073115,37.50042321,"강남구",3
"455",455,127.0729816,37.50145747,"강남구",3
"456",456,127.0742888,37.50123265,"강남구",3
"457",457,127.07618,37.50096943,"강남구",3
"458",458,127.0754226,37.50106289,"강남구",3
"459",459,127.0754226,37.50106289,"강남구",3
"460",460,127.074961,37.50111867,"강남구",3
"461",461,127.0724032,37.50161985,"강남구",3
"462",462,127.074961,37.50111867,"강남구",3
"463",463,127.0742888,37.50123265,"강남구",3
"464",464,127.0777563,37.5006923,"강남구",3
"465",465,127.0721525,37.50080619,"강남구",3
"466",466,127.0722851,37.5005416,"강남구",3
"467",467,127.0722851,37.5005416,"강남구",3
"468",468,127.0722683,37.50062662,"강남구",3
"469",469,127.072339,37.50015513,"강남구",3
"470",470,127.072339,37.50015513,"강남구",3
"471",471,127.0722481,37.50043828,"강남구",3
"472",472,127.0722481,37.50051904,"강남구",3
"473",473,127.0794113,37.50034434,"강남구",3
"474",474,127.0784579,37.50055055,"강남구",3
"475",475,127.0784579,37.50055055,"강남구",3
"476",476,127.0723517,37.49442659,"강남구",3
"477",477,127.0734987,37.49483202,"강남구",3
"478",478,127.0734987,37.49483202,"강남구",3
"479",479,127.0723887,37.49451655,"강남구",3
"480",480,127.0556149,37.49073209,"강남구",2
"481",481,127.0559225,37.4897385,"강남구",2
"482",482,127.0557734,37.49011273,"강남구",2
"483",483,127.0560827,37.48943075,"강남구",2
"484",484,127.0560602,37.48939588,"강남구",2
"485",485,127.0567829,37.48803921,"강남구",2
"486",486,127.0567047,37.48799493,"강남구",2
"487",487,127.0564397,37.48799248,"강남구",2
"488",488,127.0577147,37.48853233,"강남구",2
"489",489,127.0575368,37.48844812,"강남구",2
"490",490,127.0586147,37.48890345,"강남구",2
"491",491,127.0586147,37.48890345,"강남구",2
"492",492,127.059576,37.48919632,"강남구",2
"493",493,127.0643046,37.49032512,"강남구",3
"494",494,127.0649561,37.49046951,"강남구",3
"495",495,127.0648281,37.49015442,"강남구",3
"496",496,127.0648281,37.49015442,"강남구",3
"497",497,127.0643046,37.49032512,"강남구",3
"498",498,127.0643211,37.4902911,"강남구",3
"499",499,127.0650405,37.49034,"강남구",3
"500",500,127.0651243,37.49050679,"강남구",3
"501",501,127.0599165,37.48927563,"강남구",2
"502",502,127.0615697,37.48958028,"강남구",3
"503",503,127.0615697,37.48958028,"강남구",3
"504",504,127.0629981,37.4898441,"강남구",3
"505",505,127.0629981,37.4898441,"강남구",3
"506",506,127.056024,37.48933959,"강남구",2
"507",507,127.056024,37.48933959,"강남구",2
"508",508,127.0642944,37.49206215,"강남구",3
"509",509,127.0636393,37.49329396,"강남구",3
"510",510,127.0647779,37.4911711,"강남구",3
"511",511,127.0646933,37.49121136,"강남구",3
"512",512,127.0637295,37.49312135,"강남구",3
"513",513,127.0642944,37.49206215,"강남구",3
"514",514,127.0642944,37.49206215,"강남구",3
"515",515,127.0646933,37.49121136,"강남구",3
"516",516,127.0647385,37.49118985,"강남구",3
"517",517,127.0636751,37.49397726,"강남구",3
"518",518,127.0728714,37.49827713,"강남구",3
"519",519,127.0729804,37.49823128,"강남구",3
"520",520,127.0650141,37.49153622,"강남구",3
"521",521,127.0646661,37.49207843,"강남구",3
"522",522,127.0646228,37.49216065,"강남구",3
"523",523,127.0697814,37.49615866,"강남구",3
"524",524,127.0710073,37.49401364,"강남구",3
"525",525,127.0697814,37.49615866,"강남구",3
"526",526,127.0697814,37.49615866,"강남구",3
"527",527,127.0708743,37.49424025,"강남구",3
"528",528,127.0708743,37.49424025,"강남구",3
"529",529,127.0649654,37.49149259,"강남구",3
"530",530,127.0649919,37.49151632,"강남구",3
"531",531,127.0716648,37.49389684,"강남구",3
"532",532,127.0715833,37.49396487,"강남구",3
"533",533,127.0654812,37.4905444,"강남구",3
"534",534,127.0662222,37.49069158,"강남구",3
"535",535,127.0655696,37.49043422,"강남구",3
"536",536,127.068715,37.49137199,"강남구",3
"537",537,127.0666513,37.4905266,"강남구",3
"538",538,127.0674123,37.49073882,"강남구",3
"539",539,127.0692218,37.49164608,"강남구",3
"540",540,127.071153,37.49376539,"강남구",3
"541",541,127.0654812,37.4905444,"강남구",3
"542",542,127.0712387,37.49361649,"강남구",3
"543",543,127.071153,37.49376539,"강남구",3
"544",544,127.0707382,37.49333275,"강남구",3
"545",545,127.0708193,37.49334283,"강남구",3
"546",546,127.0705851,37.49277545,"강남구",3
"547",547,127.071185,37.49336659,"강남구",3
"548",548,127.071185,37.49336659,"강남구",3
"549",549,127.0654812,37.4905444,"강남구",3
"550",550,127.0659594,37.4903537,"강남구",3
"551",551,127.0699397,37.49221005,"강남구",3
"552",552,127.0703207,37.49251025,"강남구",3
"553",553,127.0659594,37.4903537,"강남구",3
"554",554,127.0665575,37.4904788,"강남구",3
